2022/07/10 02:55:37 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 81, Current best: 10458.454055778833, Global best: 4625.251624622984, Runtime: 0.00435 seconds
2022/07/10 02:55:37 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 82, Current best: 8892.869014957054, Global best: 4625.251624622984, Runtime: 0.00430 seconds
2022/07/10 02:55:37 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 83, Current best: 10426.67364650586, Global best: 4625.251624622984, Runtime: 0.00429 seconds
2022/07/10 02:55:37 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 84, Current best: 10325.871128231793, Global best: 4625.251624622984, Runtime: 0.00456 seconds
2022/07/10 02:55:37 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 85, Current best: 10259.621499344754, Global best: 4625.251624622984, Runtime: 0.03550 seconds
2022/07/10 02:55:37 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 86, Current best: 11253.383061014834, Global best: 4625.251624622984, Runtime: 0.00448 seconds
2022/07/10 02:55:37 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 87, Current best: 10673.867441837143, Global best: 4625.251624622984, Runtime: 0.00713 seconds
2022/07/10 02:55:37 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 88, Current best: 10715.422130561421, Global best: 4625.251624622984, Runtime: 0.00548 seconds
2022/07/10 02:55:37 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 89, Current best: 7682.528803906646, Global best: 4625.251624622984, Runtime: 0.00480 seconds
2022/07/10 02:55:37 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 90, Current best: 12296.504119940075, Global best: 4625.251624622984, Runtime: 0.00427 seconds
2022/07/10 02:55:37 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 91, Current best: 11685.072885045256, Global best: 4625.251624622984, Runtime: 0.00423 seconds
2022/07/10 02:55:37 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 92, Current best: 9835.920496922472, Global best: 4625.251624622984, Runtime: 0.00425 seconds
2022/07/10 02:55:37 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 93, Current best: 11391.816546871074, Global best: 4625.251624622984, Runtime: 0.00428 seconds
2022/07/10 02:55:37 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 94, Current best: 10459.356242190159, Global best: 4625.251624622984, Runtime: 0.00422 seconds
2022/07/10 02:55:37 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 95, Current best: 9073.696314642912, Global best: 4625.251624622984, Runtime: 0.00564 seconds
2022/07/10 02:55:37 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 96, Current best: 9073.696314642912, Global best: 4625.251624622984, Runtime: 0.00672 seconds
2022/07/10 02:55:37 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 97, Current best: 9766.231643316136, Global best: 4625.251624622984, Runtime: 0.00612 seconds
2022/07/10 02:55:37 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 98, Current best: 9495.761272111413, Global best: 4625.251624622984, Runtime: 0.00549 seconds
2022/07/10 02:55:37 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 99, Current best: 8088.495377144371, Global best: 4625.251624622984, Runtime: 0.00424 seconds
2022/07/10 02:55:37 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 100, Current best: 7447.652988492804, Global best: 4625.251624622984, Runtime: 0.00622 seconds
