2022/07/10 02:57:32 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 79, Current best: 12298.024367466647, Global best: 5796.449957773933, Runtime: 0.00500 seconds
2022/07/10 02:57:32 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 80, Current best: 9424.359965342514, Global best: 5796.449957773933, Runtime: 0.00443 seconds
2022/07/10 02:57:32 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 81, Current best: 7182.331137538859, Global best: 5796.449957773933, Runtime: 0.00611 seconds
2022/07/10 02:57:32 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 82, Current best: 6895.889637195648, Global best: 5796.449957773933, Runtime: 0.00617 seconds
2022/07/10 02:57:32 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 83, Current best: 8270.099886995502, Global best: 5796.449957773933, Runtime: 0.00688 seconds
2022/07/10 02:57:32 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 84, Current best: 8856.683098987944, Global best: 5796.449957773933, Runtime: 0.01223 seconds
2022/07/10 02:57:32 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 85, Current best: 6700.201637337466, Global best: 5796.449957773933, Runtime: 0.00902 seconds
2022/07/10 02:57:32 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 86, Current best: 10731.259674898156, Global best: 5796.449957773933, Runtime: 0.00665 seconds
2022/07/10 02:57:32 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 87, Current best: 7148.526300817268, Global best: 5796.449957773933, Runtime: 0.00441 seconds
2022/07/10 02:57:32 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 88, Current best: 11852.944785546479, Global best: 5796.449957773933, Runtime: 0.00441 seconds
2022/07/10 02:57:32 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 89, Current best: 8777.92736538391, Global best: 5796.449957773933, Runtime: 0.00553 seconds
2022/07/10 02:57:32 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 90, Current best: 11708.989644410332, Global best: 5796.449957773933, Runtime: 0.00769 seconds
2022/07/10 02:57:32 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 91, Current best: 9931.30550992789, Global best: 5796.449957773933, Runtime: 0.00668 seconds
2022/07/10 02:57:32 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 92, Current best: 8402.225305921129, Global best: 5796.449957773933, Runtime: 0.00453 seconds
2022/07/10 02:57:32 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 93, Current best: 13236.466566143745, Global best: 5796.449957773933, Runtime: 0.00421 seconds
2022/07/10 02:57:32 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 94, Current best: 10838.2589226894, Global best: 5796.449957773933, Runtime: 0.00422 seconds
2022/07/10 02:57:32 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 95, Current best: 7935.070089735901, Global best: 5796.449957773933, Runtime: 0.00508 seconds
2022/07/10 02:57:32 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 96, Current best: 7726.56642150985, Global best: 5796.449957773933, Runtime: 0.00989 seconds
2022/07/10 02:57:32 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 97, Current best: 6696.136593371143, Global best: 5796.449957773933, Runtime: 0.00698 seconds
2022/07/10 02:57:32 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 98, Current best: 7817.292692194007, Global best: 5796.449957773933, Runtime: 0.00510 seconds
2022/07/10 02:57:32 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 99, Current best: 9266.637954378048, Global best: 5796.449957773933, Runtime: 0.00536 seconds
2022/07/10 02:57:32 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 100, Current best: 8769.834482850732, Global best: 5796.449957773933, Runtime: 0.00533 seconds
2022/07/10 04:47:32 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: N objs: 3 with N weights: [0.4, 0.1, 0.5]
2022/07/10 04:47:32 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 1, Current best: 12.714223024996336, Global best: 12.714223024996336, Runtime: 0.03359 seconds
2022/07/10 04:47:32 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 2, Current best: 12.714223024996336, Global best: 12.714223024996336, Runtime: 0.03525 seconds
2022/07/10 04:47:32 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 3, Current best: 12.714223024996336, Global best: 12.714223024996336, Runtime: 0.03950 seconds
2022/07/10 04:47:32 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 4, Current best: 12.714223024996336, Global best: 12.714223024996336, Runtime: 0.04003 seconds
2022/07/10 04:47:33 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 5, Current best: 12.714223024996336, Global best: 12.714223024996336, Runtime: 0.04182 seconds
2022/07/10 04:47:33 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 6, Current best: 12.599350806844157, Global best: 12.599350806844157, Runtime: 0.03478 seconds
2022/07/10 04:47:33 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 7, Current best: 12.599350806844157, Global best: 12.599350806844157, Runtime: 0.04377 seconds
2022/07/10 04:47:33 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 8, Current best: 8.269579856088027, Global best: 8.269579856088027, Runtime: 0.09283 seconds
2022/07/10 04:47:33 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 9, Current best: 8.269579856088027, Global best: 8.269579856088027, Runtime: 0.03650 seconds
2022/07/10 04:47:33 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 10, Current best: 8.269579856088027, Global best: 8.269579856088027, Runtime: 0.04232 seconds
2022/07/10 04:47:33 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 11, Current best: 8.269579856088027, Global best: 8.269579856088027, Runtime: 0.03791 seconds
2022/07/10 04:47:33 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 12, Current best: 8.269579856088027, Global best: 8.269579856088027, Runtime: 0.03812 seconds
2022/07/10 04:47:33 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 13, Current best: 8.269579856088027, Global best: 8.269579856088027, Runtime: 0.03320 seconds
2022/07/10 04:47:33 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 14, Current best: 8.269579856088027, Global best: 8.269579856088027, Runtime: 0.03253 seconds
2022/07/10 04:47:33 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 15, Current best: 8.269579856088027, Global best: 8.269579856088027, Runtime: 0.03204 seconds
2022/07/10 04:47:33 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 16, Current best: 8.269579856088027, Global best: 8.269579856088027, Runtime: 0.03582 seconds
2022/07/10 04:47:33 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 17, Current best: 8.269579856088027, Global best: 8.269579856088027, Runtime: 0.03413 seconds
2022/07/10 04:47:33 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 18, Current best: 8.269579856088027, Global best: 8.269579856088027, Runtime: 0.03179 seconds
2022/07/10 04:47:33 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 19, Current best: 8.269579856088027, Global best: 8.269579856088027, Runtime: 0.03314 seconds
